mdng,fr,mdng-remain,fr-remain
"Gbə ne swahe, nyiŋ fasyen nyi dəɓɓi",Attraper ou arracher avec force, Me kyeɓko ge gbəmgbea, 
Lwaamolii,"Cancer, ulcere"," Nwah kyaŋ Nwah mai mo ka ruŋ kpee ya Gbəmgbea ɗəə me ɓo 
", 
"250 Pə’manne, pə ’ahe","Large, élargie"," Mo cuŋ mbəro matə gbənək ahe Ɓər yaŋ ah gbənək Makah juŋ cok ɓo gbənək gbənək ka ɓoo paare Jeertə ahe: Wereree, pəlaŋne Za ki faara gbənik", 
"Təriŋ, cwət",Avec force," Gaa zahfah ge gŋ gbər Me haa ɓal ge tə waa gbər Me ɓaa ge gŋ ne guu gbərgbər 
", 
"Gbəren cuu fan ma in ga wo ki, mo so oo wii, wala dəɓ mo laa cii ahe","Clignotant des yeux, étincelle ou bruit de ce qui brille"," Me i təsal ge wo ki gbəren wii waini Ɓol mo tə ee cok ɓe, a in nən gbəren gbəren", 
"Ɓəəɓəə, ŋgaŋgaŋ","Gros, potelé", Fan ma ne tə gər pəluuri Rək jurpiŋ pəluu gbərgbələŋ Mawin woo kwaa pəluu gbərgbələŋ kal ne ko, 
"Ne swahe, gwari gwari","Vacillant, chancelant"," Mo kəə me gbərgbər ka Dəɓ ah joŋ fan ne swah gbərgbər Mo tə joŋ fan gbərgbər pəlli, mo kaa ’wa Ge kaa ɗə ya kal ne pel gbərgbər Jeertə ahe: 
Pəwokki", 
"Pəlli, təɗe’, njurnjur, njwad njwad","Etre forcé,  poussé"," Mah ah ɗəŋ tətəl ɓo səŋ gbəriŋ (gberyaŋ) Me lee ge səŋ gbəriŋ Ka tə zyii syee ya, za waara morgom nyi ko gbəriŋ gbəriŋ ", 
"Pəluuri, gbərgbələŋ","Gros, mais qui bouge"," Ɓə təki vaŋno ne ma kəpelle Mo woo lee voo ɓo gbərləŋ mo ga joŋ fee ne ne? Gbərləŋ cuu fan mai mo pə’manne, mo pəyək ta Dəɓ hər fii ne bii gbərləŋ gbərləŋ ga ne ko", 
"Pə’manne, pəgoŋne",Lourd et gros," Kpuu mai ɓoo ɓo gbərmgbii təkolle Kəlaɓ mai coo ɓo gbərmgbii ka ne yeɓ ya Gbərmgbii cuu fan mai mo pəgoŋne, mo pə’manne, mo pəyək ta Jeertə ahe: Pəlaŋne, pəgwahe", 
"251 Yaŋ tətəlli, joŋ fan pəwokki","Lent, nochalent"," Mo gbərol ɓo sye geo, ma ɓe me kal ɓe 
", 
Bəĩi,Ouvrir," Gbər zahfah yaŋ ge lalle Mo gbər zah cii ka Dəɓ ah gbər zah faa ɓə ki ya Za gak faara fahlii gbər, wala ɓəĩi ɓe Tətəl dəɓ mo gbər a ɓe, ka laa mor ɓə gwari ya Jeertə ahe: Coo, cwaa", 
"Ryakryak, kpaa, əə ya","Juste, net"," Me nĩi nyin gbə gbərul Mo soɓ ko ka, mo gbə gbərul Gbə wel ah gbərul cuu fan nyi ko ", 
"Təɗe’, daŋ, jəttətə, coŋ ya","Tout, ensemble"," Dəɓ ah woo fan ma ɓe daŋ gbəruŋ We woo gbəruŋ, we coŋ ka Yaŋ ah lee ge səŋ gbəruŋ Zolra kal gbəruŋ gbəruŋ Me taira ge ɓo təki gbəruŋ ", 
"Pə’manne, təɗe’, təroɓ",Egratignure," Gbərwak cuu fan mai dah mo ka gŋ ya, syiŋ mo ka gŋ ya Pəroɓɓe Dəɓ ah lee zoŋ suu gbərwak Mo ɓoo ge pə biicwak ka rwaɓ gbərwak Lee ge təwii zwam suu gbərwak gbərwak", 
"Pak ɓo ne kahe, soi","Penché, courbé"," Cok maki ah ka yea zahki ya, a yea gbəryaŋ Fan mo ka jaŋjaŋ ya ɓe, ka a gbəryaŋ Mo kan ɓo ne kah gbəryaŋ a leere Cok ah gbəryaŋ gbəryaŋ Jeertə ahe: Jaŋjaŋ, fertə", 
"Mo ee alkawal, ɓtv yo",Alliance, , 
Sum sərri,"Oxyde de fer, kaolin jaune"," Gbəə pəsah pəlli, pəsyemme Za ɗeera gbəə nyi goŋ ne goŋlii mo tə gara yaŋ syak ɓəə o Gbəə təgbana nəm ma syee tə dəɓɓi Goŋ mai mo ɗee gbəə ɓe daŋ, a ɗii ne goŋ gbəə Bii fan ma ne gbəə daŋ a ɗii ne gbəə ta Gbəə maɗalle (maralle), gbəə ŋgoloŋ Təzyee laŋ a pəgbəə", 
"252 Pəlli, təɗe’","Totalement, entièrement, tout"," Nyin woo fan yaŋ ɓe, gbəəgbəə Gbəəgbəə cuu coŋ fan ki ya, təgbana tah ne talle Woo gbəəgbəə; kaa gbəəgbəə", 
"Mo ee mgbərĩi mgbərĩi (gbərgbər), ɓtv yo",Amèrement, , 
"Taini, wooni","Balayer, nettoyer"," Mo gbəə cok ge lalle Me tə gbəə yaŋ Mo woo, coŋ gŋ ka, mo gbəə təɗe’ We gɓəə belbelle Bii gɓəə cok kal ne ɓe", 
Rĩi mai dəɓ mo ciŋ kahfənni,Poils du tempe," Gbəə yea kahfən gwa daŋ Gbəə gak zyaŋ ki ne pyaŋne Gbəə gban za ki pəlli 
", 
"Kəəni, rooni","Démanger, piquer, abassourdi"," Afee ye gbəə mo ka mo ge ne? Jol ye gbəə mo tə fan ah ne? Jol mo gbəə mo laŋ, mo juu fan ah ka", 
"Lwəəni, syenne","Démanger, se gratter, piquer"," Suu gbəə me ne lii ah daŋ Dəɓ mo juu fan gbah ɓe, a gbəə suu Syem manyeeki ah gbəə dəɓ pəlli Mo gbəə ka a cee nwahe Mo gbəə ləə nyi me ka, ɓə ma gaɓ ki Za ka faa nyi dəɓ mo gbəə suu ɓo ya (mo ee suu ɓo)", 
"Pəlli, We mai yeyee gbəərĩi gbəərĩi",Amèrement," Yeyee gbəərĩi gbəərĩi (mgbərĩi mgbərĩi, gbəəgbəə) cuu yee mai dəɓ moo yim ne ko kpiɗkpiɗa (piɓpiɓ) Yee mai cuu mə wee nyee moo yimra ne ko", 
253 Patə jemma (10) syel masyin fanŋwəə zah Mundaŋ,10èm lettre d’alphabet moundang," Dəɓ mo tə ɗii ɓe, mo əə zah nje, yəl (yil) tərĩi (tərən) juu ləə ma səŋ soɓ tə’yak pəə ge lalle h", 
Awai,Répondre à un appel," Zyii ɓə zah dəɓɓi Ha, mo faa ɗii? ", 
Cuu fan ma joŋ jur ne ɗii ahe: Zwəə zah haa,Bruit de vomissement," Me laa tə zwəə zah gin haa haa 
", 
Laŋ tətəl ga səŋ gin səŋ,"Agiter, ou secouer la tête"," Dəɓ mo laa ɓə ma’nyah ah ɓe, a haa tətəlli ka cuuni ɓə ah ’nyah suu ’min ɓe 
", 
"Mo ee yeyee, ɓtv yo",Pleurer," 
", 
"Gaani, maa ne swahe","Enfoncer, clouer"," Mo haa ge gŋ ne fanne Waa haa ɓal ɓo nyi me Haa zahfah ge gŋ gbər, ’yah faa: Coo mbaŋ 
", 
"Moee kalgii, ɓtv yo",Arbre," 
", 
Kpuu (kuu) yo,"Amer, mauvais gout"," Təzyee (təzee) ah a pəzwakke, za soŋ, wala kəə zwan ne ɓə ɓər syenne Zwak haare Kai, dəɓ ka gak ren a, a na haare, a pəzwak pəlli", 
"Ge səŋ, hai",Sans connaissance," Nahnən ah ka pəsah ya, a ee cok haaraŋ Me ee cok haaraŋ 
", 
"Laaro, bai ’nyahre","Sans gout, ou mauvais gout"," Nəə ah a haaro, ka pə’nyah ya, a kə zah haaro (laaro) 
", 
254 Kpuu,Prosopis africana," Haa sye, kpuu mayak lii ah yo, a pə bərəmmi (pəbəmmi) Kpuu mai pəyak na haare Yakwii haa ’men pəlli Za Torrock faara kpuu haa a camcam gwa, ara pəyakke, pəbəmmi daŋ, amma goo ɓəə a camcam  goo ah pə ’ahe, jur goo swaa  Goo haa mundaŋ (haaram), pənyiŋ Gwii (gii) ’yahra re lee haa daŋ pəlli Za kə Ləəre ɗiira haa məka ne goraŋ", 
Lak vam solai ma tə biŋ ahe,"Ancienne monaie, dernière pièce d’argent"," Haɓ gwa kii karaŋga vaŋno Haɓ ka ne yeɓ zəzəəko yao Mo ga soo haɓ ah daŋ ka coŋ ya, təgbana faa: Mo soo daŋ ka coŋ fan ki biŋ ya", 
"Ləə suu, cwah zahe","Brûler, piquer, chauffer"," Ɓeekah (məndereo) a haɓ zahe Dəɓ mo fok ɓeekah nahnən ɓe, a cwahe 
", 
"Yeeni, cakke, wala ɗii dəɓɓi","Gesticuler, faire les signes de la main"," Za haɓ dəɓ ne jolle, haɓ ne nahnənni Mo haɓ zah ah ka", 
"Ren ne swahe, gwari gwari",Rapidement," Mo ɓoo nəə nyi goo ɓe, a həhaɓɓe Dəɓ ah haɓ (hap) təwaa mə ah vər ɓe Ur səŋ haɓ (hap)", 
"Kanne, gbəni","Brûler, se chauffer, se rechauffer"," Haɓ (həɓ) nəə, wala kah tə wii ka cwahe Nəə ɓo cwah pəsah ya ɓe, mo jin haɓ tə wii biŋ ɗao Cel tə wuuni, mo haɓ jol tə wii ɗə", 
Kəəni,"Gesticuler, faire signe de la main, chasser, faire fuir, désinfecter, "," Him (yim) jol nĩi gwii, wala kəə gwii Haɓ (həɓ) juu ne jol ka mo zoo ko kalle Za həɓ fan ne jolle, nahnənni Həɓ nyah tə wii",
,stériliser,, 
॥iɗii ne suu swahe,"Appeler avec force, rapidité"," Mo hah (sah) ɗii ah ka mo geko sa Azu ye tə hah (sah) ɗii moo ne? 
", 
"255 Ɓeɓ fanne, ŋgom fanne","Casser, faire tomber, malaise"," Vaŋno ɓe, za faa: Hao  Me ga hah zahwii Mo ge hah keesyer ge ne ko Tə hah yaŋ mataa ga səŋ Gwii tə hah korre", 
"Mgbaa dəɓ ne ɓə, soɓ cok ’yak nyi ya","Importuner, déranger, douleur"," A cuu fasyenne ta Kahlaa hahk ko ɓo Gəəzyii hahk ɓo hahkke, ka tə soɓ cok (tok) it tə’yak nyi ya", 
Pəzwakke,Beaucoup  amère, Kpuu bah a pəzwak hahkəkəə , 
"Mo ee bahmasəluuri, ɓtv yo","Sot de joie, de froid", , 
Gwahe,"Rapidité, agile"," Joŋ fan gwari gwari Dəɓ mai pəhahre (pəgwahe) Za wəə joŋ fan pəhahre (pəgwahe), ma ɓo mo ka pə hah (gwah) ya", 
Ka pəsah ya,Somnolent ," Nahnən joŋ me ɓo hahro Nəm tə waa me, nən ɓe daŋ hahro Jeertə ahe: Ɓelɓel",
Ɓwakke,"Sans attente, plus tard"," Dəɓ ah ge dai me hai me foo ɓə ah ɗə ya Me ga ŋhoo yaŋ ɓii hai ba 
", 
Pəlli,"Partout, moins cher"," Zəzəəko sor joŋ hai ɓe Hai cuu ka pəgaɓ ya ta Mo lwaa lee ah ɓo hai 
", 
Nəə cokki,"Ourebi, cobbe de roseau (redunca redunca)"," Haĩ jur nəəmin ɓo, amma haĩ pəlaŋne Haĩ ren əə pəlli na pəpəə", 
"Pəlli, bai joŋ fan sahe","Beaucoup, partout, de tout côté, irréflèchie, en désordre, désordonné"," Fan ge ɓo haihai Mo ka lwaa nəə manyeeki ah haihai ya Mawin ma tə haihai, təgbana faa a joŋ təkoi Ɓə ah ka hai ya, ane morrĩi Syem ah pə’manne a faa ɓə haihai", 
256 Bai joŋ fan sahe,Mauvaise habitude, Dəɓ joŋ fan hailuu , 
Kaani,Pl," Vaŋno ɓe, dəɓ faa:  Dəɓ kaa ɓo ŋhaano Pp Za ɓo mor kpuu ŋhaano We hai ɓo nyee təkol ’wel joŋ feene? Mo haira ge səŋ", de s’assoir 
"Zyiŋ ge lalle, syee zah ah ge lalle","Ecarter, s’écarter"," Mo haĩ zah ah ge lalle We haĩ ge lal pəlli ka 
", 
Mo joŋ ge ne fah koo ko o,"Cela ne me regarde pas, va avec"," Ɓə bai saaŋ dəɓ ki Mo haĩ ne ko Ɓə ma saŋ ɓe ka gŋ ya, mo haĩ ne ko 
", 
"Ɓəfooni, ɓətanne, tan suu","Sagesse, connaissance"," Dəɓ ah ka ne hakilo ya Hakilo ɓe ge ya ba Mo joŋ fan bai hakilo, ’yah faa bai foo ɓə ", 
Vər təɗee pəə,Finir de labourer le sillon d’une portion de terre," Ru pəpəə hal təɗee ɓo gwa ɓe Təɗee mai pəwahe, ka hal gwari ya Me hal təɗee pəə mai ɓe, me ga yaŋ o", 
Fagaini,Parure des femmes," Ŋwəə za taa maara halbai voo (boo) ɓəəra, wala tə kpuu zah kəsəŋ A maara ndəfəri pə tə kpuu zah ma kəsəŋ Halbai pəfai, a pə wahlle Ndəfəri a pəcoo, tətəl ah pə ’ahe Ge pel nje o ɓe, fan ma ɗii ne majamlee ge nyiŋ cok ɓəəra Majamlee pəsyee, ŋwəə maara voo (boo) ko ta", 
"Mgbai ge səŋ, ’wal ge lalle","Elargir, déborder"," Mo hal korvuu ge səŋ Mo gak hal no ne? Oho, me gak halle Mo hal ge səŋ kpərloŋ 
Zahvahlbii (zahbalbii) tə hal ga pelle ga pelle", 
"Cok joŋ kəndaŋne, wala təsal mai za kəndaŋ mo eera kəndaŋ ne ko","Lieu de dévination, voyant", Kaa ɓo tə halle (həlli) Tə ləə təsal tə halle Tə keera zah halle Hal faa ɗəne?, 
"257 Cok rək fan maɓea ahe, fataa","Tas d’ordures, fumier"," Cok tai fan mai mo ka ne yeɓ yao ’Nahmme, sahe, fataa daŋ mor rək ga tə halle (həlli, hille) Mo gbə hal ah kah yaŋ gwari ka Za ma bai tətəl fyahra fan tə halle (həlli, hille) Za faa: Dəɓlii sye hal o, za rək fan daŋ ga təl ahe (dəworre)", 
"Gbə tai ge təki, cee ge təki, fer zah fanne","Rentrer, retourner", Mo ham daagol ge təki Me ka gak ham zah pər ya Ɓal ɓe ka gak ham ya Mo ham suu nən ki gwa koo sai Dəɓ gak faa ham ge təki ta , 
Jin i dəɓ ta,Taper," Me ham jol ne ki ɗə ya, me so jin i ko ta ya Wel ka ham jol ne pam, wala mam ya 
", 
"Lee syakke, ɓoo syakke",Sourire, , 
"Mo tə han ɓə ɓo nyi zu sye ne gerre (veɗɗe)? Mo ge han (faa) zah tai man nyi ko ɓe ne? A’a, me han (faa) ya ba","Parler, dire"," Mo yaŋ ka, mo ge han ɓə nyee nyi ko", 
Cii kyaŋ,Faire entendre la voix, Mo han kyaŋ ləŋ pəsahe Dəɓ ul təsol han pəraa pəraa, 
"Təŋ təəre, ur təəre, kal ne təəre",Insulter," Mo waa han təə ɓe nai sə Mo han təə ɓe zahləŋ pəpaare, me zyii ɓə ki ya 
", 
"Nĩi juu, nəə pəpaare",Chasser," Me ge haŋ juu tə sor kalle Me haŋ loo pə ’wah ɓo Dəə haŋ ɗul kal ɓe 
", 
"Swaa, yeryerre","Devenir fort, solide", Wel ah haŋ ɓo no cam Dəɓ gak faa: me ye haŋ ko ɓo ta Amo sye mo haŋ ya ba A ga haŋ ne kene?, 
"258 Yee, təbee, ɓə faa bamme",Tonnerre , Bam tə haŋ pəlli ɗii nai ne? Bam tə haŋ pəlli mo uu lal ka,
Suu dəfuu ma kəsyil sah ne gəəzyii,Hanches," Ɓər a kəsyil haŋne Mo saa fan ge sah ya ta, mo so saa ge haŋne Gal mo tə ren mo ɓe, mo gbə haŋ ahe Haŋ ah saŋ neo, ka pə ’ah ya Məlaŋ ah lee haŋ pəsah təgbana zyeɓra ko ɓo ne jolle", 
Kəsyil fanne,Au milieu," Syee ge uu haŋ gai Haŋ a cuu səŋ ta Mo ee ge mor haŋ tal səŋ Bee bii baa ya, a ne haŋ ahe 
", 
"Cok wii pə’manne, pəlli mor ka vam mo yea pəsyee","Chauffer (soleil, feu) ", Haŋ vam mor wii cwah me ne ko Suu we mai haŋ wii ɓo ɗi nai ne? Com haŋ suu nyi me pəlli,
Dəndiŋ,Insecte," Haoɓel pə ’ah kabəram Dəɓ mo gbə haoɓel pə jol ɓe, sol ah laŋ ɓel, ɓel, ɓeɓelle Fan joŋ ah nyi təɗii nyi ko sə", 
"Ɓelle, gwolle","Casser, briser, se fracturer, rompre, louer, geste de danse"," Vaŋno ɓe, za faa: Hao Mo pəpaa ɓe, za faa: Hahni (hahe) Mo ee ɓə tə hahe Me hao kpuu jol vaŋno, me hah zahwii jolle Kpuu təl yaŋ hao ɓe Kəlaɓ əə me hao ɓe Mo joŋ ka mo hao solle Cwaa jol nyi ko ŋhaa haoni Za gak hao jolle, hao syii fanne, za hao daa Hao daa, hao syii, haozah wolli, se saluer ", 
Dəndiŋ,Hanneton, Hao pəə ne zalle Paa ah nən mor sər syii pəpaare ko syer ba A ɓeɓ səə fan pəlli Haore (mahaore) fyeah dəɓ ne sol ahe, 
"Ge haozah nyi dəɓ mai zum ah, wala bai ah mo wə ɓo",Rendre condoléances, Me ga haozah nyi Pabame pə cok wul pamme , 
259 Haozahe,"Saluer, se saluer"," Faa (han) ɓə nyi dəɓ ne ’yahe Mo ɗah syee o me tə haozah wol ba, wala haozah nyi gwəə ba 
", 
"Mo ee haɓɓe, ɓtv yo",Rapidement," 
", 
Limmi,"Domter, éduquer"," Za har zah dəə, wala lim ko ka mo laako zahe Dəɓ ki gak har zah dəɓ maki ah ta 
", 
"Ɓeɓɓe, rooni","Abimé, non éguisé"," Təsal haraɓ (həraɓ) syel kpah ɓe ɓo, me ga yee syel ah mor cwakke Boore, leemuŋ ne baare a haraɓra syelle", 
"Təɗe’, gwari","Tout, rapidement"," Me nyi təker nyi ko zwə harɓee (kərɓeɓ) Coŋ gŋ ɗə ya zwə ne pel harɓee 
", 
Pə nahmme,Non cuit," Kwaa mai zee ya a harhar Fan mai daŋ mo zee ya ɓe, a yea pə zah harhar, wala hao hao Jeertə ahe: Təɓət təɓət", 
Pəkpeere,Inégal," Daŋ dah coŋ ɓo harŋgaŋ, zah ah harŋgaŋ Mo ɓaŋ tə coŋ harŋgaŋ ge ne ko Jeertə ahe: Rentətə ", 
"Zahki, pəswahe, pəyakke",Pl, Ara pəluu zahki hartə A joŋra fan zahki daŋ hartə Ara pəswah hartə Wee loo swaara hartə ɓe," habile, bien éveillé "
Faa ɓə ne kpahe,"Jurer, prêter serment"," Dəɓ ma hazah a faa nyi Masəŋ me ga joŋ fan maino, ko zye joŋ fan ah ya ɓe, ka Masəŋ mo ŋgoŋ kiita tə ’minni Za hazah ne fanne, pə təɗii fanne", 
"Wul matəfən mai mo yea pə bii, a ŋgom ɓal nyi dəɓɓi",Moule," 
", 
"260 Mo ee geere, ɓtv yo",Colline,, 
"Təkaa mai mo syer pə fansoo, a yea ne syiŋ wo suu",Chenille ,,
"
Fer, ferre","Enlever l’écorce avec qqc, éplucher"," Hee (yee) kwaare Hee təmbarka ka renne Hee (yee) kərkpah, kərkəlaɓɓe", 
"॥ok syel kpah, nyahe, gwəəre, wala kəlalɓɓe ka mo ’nəə ko pəsahe","Aiguiser, rendre tranchant", Mo ee yee, 
Paa (faa),Herbe," Paa ah ɗər ki ne paa ma ɗii ne helle, amma, hel səgwai pənyiŋ, ka pəluu na hel a", 
Faa (paa),Herbe sentante," Za kaŋ zahfah yaŋ, korre ne helle Faa hel ɗər makəpərĩi, a pəswahe Paa ah a fuŋni, faɓea ka ɓeɓra kor ah ya ", 
Mo ee enee enee,"En ordre, par ordre",, 
Kpuu,Arbre," Gan syelle, gəə tə təsalle A yea pə cok təsalle, a lee pənyee təki njiɗək na googolurri, za ka ren a", 
"Yenne, nəə","Egrener, passer à, tendre qqc"," Hen swaa, əə Nəə nah swaa wala nah əə gin pə yaŋ ge lalle Me ’yah swaa ma hen ahe Me lwaa mawin tə hen swaa ne za pəpaare Mo hen (yen) jol ɓo ge meo", à qqn 
"Dəɓ mo ne syem mənjwaa ɓe, a hetəhelle (yetəhelle)",Tousser," Dəɓ mo tə hetəhel (yetəyel) ne suŋ ɓe, ka nənəm pəsah ya Dəɓ ah hetəhel pəlli, ɗah a ne syem ne?", 
"Mo ee yiila, ɓtv yo",Magie,, 
261 Nyi yəkki,"Glorifier, honnorer"," Hii (yii) goŋe, hii zaluu sərri Na ge yii (hii) Masəŋ mana 
", 
"Lakre, cok tə woroŋ, cok tə gəə",Trou," Hii (yii) təsalle, hii kuu Za kaafuu a kaara pə hii (yii) byak za gŋ ka nyiŋ fan ɓəəra ", 
Faswulli,Natte," Za kaŋ hik (yək) ne faa syenne, kəsyiibii, goo mənnəə, goo dabonoojee Hik ma kaŋ ne syenne a ɗii ne yək (hik) syenne, ma kəsyiibii ɗii ne hik kəsyiibii", 
"Lwaa swahe, kaa swah tə zana","Gouverneur, honneur", , 
"Mo ee halle, həlli, ɓtv yo",Tas d’ordure, , 
Gik fanne,Piéger, Hil (yil) tənjyo ka dəə gee Hil (yil) mahdahe ka gban gee Za gao hilra (yilra) guu tə kpuu ka dan nəə , 
Bii sor mai mo soo ɓo soo,Boisson (bière de mil)," Za tə zwaara himmi (yimmi) Mawin ah kan him (yim) ɓo təsoo, tə ga zwə tə ’nanne Wor mawin yim zwak tə ga ŋhaano", 
Dəɓ təvoorĩi,"Voleur, tricheur"," Ɓaŋ fan dəɓ ki pə muŋni Kiŋ hin, wala nyin ka pəsah ya 
", 
Mo hiŋ (nyi) dəə me pəpəə ne ɗao,"Donner, remettre, pretter, prendre, arracher"," Me ’yah mo hiŋ (nyi) malaŋ ɓo hiŋ me kanne Mo hiŋ (nyiŋ) nyah jol ahe, a ŋgoŋ jol nyi ko Mo hiŋ (nyiŋ) lak ɓe jol ah ba", 
"Təwaa, farelle",Boule, Mo hiŋ (nyi) wol me ɗao Koŋ i me ɓo me tə ’yah holle (wolle) Mawin ɓe zoo hol (wol) tə’nah ya , 
262 Fa wol welle,Lait," Hon dəə, hon gwii Me tə ŋhəə honni (wonni) Hon (won) a pəpai (pəfai) Mah wel ne faɓal matam daŋ wolra wee ɓəə ne honni (wonni)", 
"Nai ne? Mo faa nyi mo ga ɗə hoo (soo) ne? Mo so doŋ (joŋ) nai fao hoo (soo) ne? 
",Comme ça? C’est ça? ,,
Horooroo,Gros gros," Pəluu nje nje, pə’manne Woo təsal kal ne jol horoo horoo Swaa əə mai nahnən ah pəluu horoo horoo ɗii nai ne?", 
"Cea, tai ge təki","Froissé, plié"," Za sol yerri ɓo horwan ɓo, mo zyeɓ ɗə Sərla ɓe horwan ɓo, me ga rwahe ", 
Goo,Légume," Huhuu ciŋ ne zalle, goo ah jur (dər) goo naasyiŋ ne boo (mbəə) ah daŋ Za swaa sal huhuu oo sal ne ko 
", 
Dəndiŋ,"Insecte, imiter la mort"," Dəɓ mo juu hulkwahl (wulkwahl) ɓe, a kaa ’yaŋ, wala ’wa, ka gai (laŋ) suu ya, a joŋ təgbana zye huu (wə) ɓe Za mundaŋ faara: Hu (wə) hulkwahl ɓo, coo tə’yak ɓo təkolle", 
Pahe,Antichambre," Patə gwa ɓər yaŋ mai mo muŋ ge ɓo fah morri Ŋwəə a rəkra fan ɓəə masah ah daŋ pə hulli, pəpahe Pə hul laŋ, za lwaa we hul maki ah gŋ kpə, a ɗii ne: hul rereo", 
"Cee, wala tə’yak ka wol ah ya",La mort," Tə’yak mo soɓ dəɓ ɓe, za faa: Hu (wə) ɓe Dəɓ ah ne syem hulli (wulli), syem pəgaɓ wol ahe", 
Dəɓ ma ne syem gak hunni (wunni),"Mourir, décéder"," Dəɓ ah ka gak hun (wun) laŋ ya 
", 
263 Fan dəə fanne,Panier de pèche," Za kaŋ huŋ (woŋ) ne faa syenne Za rah syiŋ dəə pə huŋ (woŋ) 
", 
"Yaŋ malaŋne, yaŋ mai mo ka na yaŋ ya","Pavillon, petite maison"," Swah ɓe kəka, me tə buu (vuu) huruŋ (hurok) mai mor we ɓe ka swan gŋ", 
"Mo ee wuu, ɗuu, ɓtv yo",Donner," 
", 
"Fan mo pəcwak ɓe, za huuni (wuuni) ka mo ge ko pəwokki",Refroidir," Me tə huu (wuu) təker ka zwanne, koŋ i me ɓo Bii wuu ɓe, mo ge er o", 
Kpuu,"Figuier, papayer"," Huu (wuu) yea kah elle pəlli Kpuu huu a pəpai, lee ah za renne, a pə jeere Goo huu a pə ’ahe huubii no a yea kah elle, kah bii Goo ah pərwahe Huu zəmai no, lee mə ah pəluuri, a pə jee kal huubii ɓe Za ɗii ne huu zəmai mor zəmai peara pəlli", 
"Mo ee waa mor muŋta, ɓtv yo ",Pousser,, 
"Mo ee waa təwaa goo, ɓtv yo ",Manger,, 
Gee malii,Montagne," Hwaa pə’man kal hea (gee) ɓe Hee (yee) hwaa a pə gaɓɓe, dəɓ gaɓ gŋ pəlli Hwaa (waa) mai dah Noa mo ge zyii (syii) gŋ a ɗii ne ararat", 
"Hwak təzee kpuu, hwak məŋgəəre, hwak kahre","Eplucher, détacher"," Syel fan mai mo mgbaa, wala mo təki ɓo vee vee təgbana təzee kuu gəəre", 
"264 Dəɓ ah yim ɓo pəlli, mo hwar (wəə) yerri wo suu ah ge lalle","Enlever, ôter"," 
", 
"Lakke, gbəni",S’agripper," Mo hwəə dəŋgai mbaŋ soɓ ɓoo ka Wel ah hwəə mam ŋgəɗiŋ tə ɗuu gal zana Za faa: Hwəə hwəəre (ŋwəəre ŋwəəre) ’yah faa: gbə ne swahe, mbaŋ, ŋgəɗiŋ ", 
"Mo ee yakke, ɓtv o ",Séché,, 
"Mo ee mabəətəfəəni, ɓtv yo ",Moule,, 
Fa cok wii,Charbon de bois," Zahwii mo syee wii ɓe, za mo rum ɓe, a soɓ hyakre (hyakwii) Mo woo hyakwii (yakwii) ge me ne ɗə", 
Yak səraŋ,Raide," Gal reko uu həɓaɓ gak faa ɓə ya Masaŋgəraŋ i ɓal nyi yak həɓaɓɓaɓ 
", 
"Mo ee yelle, gban yelle, ɓtv yo ","Tenue, ceinture de deuil",, 
"Mo ee halle, ɓtv yo","Tas d’ordures, fumier"," 
", 
"Ee həlli, ee, wala joŋ kəndaŋne","Dévination, voyant"," Pakəndaŋ kaa ɓo tə həl ba, ɗah a faa ɗəne? 
", 
"Gyəŋ, goo, pee, rao","Accrocher, rester, être impuissant sexuellement"," Me ɓoo juu ge təkuu ne kəndaŋne, həŋgah (gyəŋ) gŋ ɓe Dəɓ mai mo ka ɗaŋ far ya laŋ, za faa: Kəndaŋ ah həŋhah tə kuu ɓe ta", 
Ne swahe,Bruit de ce qu’on fait, Ɓə ma jur ne fan joŋ ahe Saaŋ wom ne gwəə hər Dəə sam tə sor hər hər Ɓaŋ ɓal wii zahki daŋ hər hər Kalra ne swah zah ki daŋ hər hər, 
265 Ruŋ,Abimer," Fan mbəə daŋ a həraɓ syelle Za faa təsal həraɓ syel kpah ɓe ɓo, me ga syiŋ syel ahe 
", 
"Ne swahe, zahki",Rapidité , We tə ga kee hərah hərah nai ne? Woora ki hərah hərah ga ŋhaano,
Vərvərri,"Fraude, égoïsme, avarice, injustice, rapine"," Dəɓ ah nyiŋ fan jol za ne həram, ’yah faa ne yella A pə həram pəlli Mo joŋ fan ne həram ka ", 
Fa ɓeare,Punaise," Həram (ɓəram) a ren jeere, a lwəə suu Həram jur madatəfyahfyah ɓo, amma ka pəfuu ya, a pəsyee", 
Kpəlfaŋ,"Jauni, sec"," Faa cok daŋ syiŋ ɓo həram (haoo) mor bam ka tə tə yao 
", 
"Bai syemme, suu tə jam",Etre en bonne santé, Me laɓ həraŋ ɓe Me ka ne suu həraŋ ya Dəɓ ma ne suu tə həraŋ ka ’yah syiŋr a Dəɓ ah laɓ həraŋ həraŋ ɓe, 
Gboŋgboŋ,"Agileté, rapidité", Dəɓ ah həraŋ no cam Wel ah joŋ fan həraŋ, 
"Gəə, woraŋ","Laisse passer la lumière, l’air", Tal ɓo gbə pəsah ya a kwan cok ga lal həraŋ, 
Kəradaŋ,Panier pour ramasser le mil, Fan dəə sorre Me ga ɓaŋ sor ’wah ne həraŋ (kəradaŋ) Me tə kaŋ həraŋ ya Sor ik pə həraŋ vaŋno baa keere , 
